country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133104,Germany,Male,Middle school,538.4094,542.0966,613.1481,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133105,Germany,Male,Integrated school,410.3521,333.5909,328.3663,ISCED 2,None,ISCED 2,Single father/mother,Second-Generation
133107,Germany,Female,Middle school,381.2198,393.9023,385.0615,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133109,Germany,Female,Middle school,503.3572,516.385,512.3461,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133111,Germany,Male,Middle school,596.1287,510.0188,577.6203,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133117,Germany,Male,Middle school,581.3289,555.7297,553.0026,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133118,Germany,Female,Middle school,558.6618,540.2937,527.5457,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133119,Germany,Male,Middle school,475.3934,424.2107,448.93699999999995,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133122,Germany,Female,Middle school,502.5783,463.2456,506.0985,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133123,Germany,Male,Middle school,601.8149,516.3542,585.4532,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133124,Germany,Female,Integrated school,413.8573,411.8537,420.3096,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,First-Generation
133128,Germany,Female,High school,566.5291,588.7466,560.8355,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133129,Germany,Male,High school,630.4019,574.1744,564.1925,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133131,Germany,Male,High school,648.3175,587.0055,608.9519,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133132,Germany,Male,High school,642.7091,592.8597,633.8493,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133133,Germany,Male,High school,598.855,556.5316,623.0325,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133134,Germany,Male,High school,634.764,594.1429,576.0351,None,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133135,Germany,Female,High school,620.2757,613.3702,590.6751,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133136,Germany,Female,High school,636.7113,593.3536,608.5789,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133137,Germany,Female,High school,657.3532,645.8575,663.6889,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133138,Germany,Female,High school,636.6334,588.9849,588.1574,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133139,Germany,Male,High school,666.8562,640.9764,671.1488,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133140,Germany,Male,High school,546.2767,481.1488,525.9605,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Second-Generation
133141,Germany,Male,High school,560.9986,512.3445,515.1436,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133142,Germany,Male,High school,665.5319999999999,618.0408,605.1287,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
133143,Germany,Female,High school,588.4172,645.6986,587.4114,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133144,Germany,Female,High school,550.405,575.1639,559.3435,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133145,Germany,Female,High school,714.683,700.1883,713.1108,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133147,Germany,Male,High school,663.0394,566.9569,627.3219,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",Both parents,Native
133148,Germany,Female,High school,585.9246,559.3571,553.4689,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133149,Germany,Male,High school,762.7434,668.002,744.6289,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
